,variable,MCR+,MCR-
0,Unnamed: 0,2.15034003588766e+30,1.0
1,promo_on_not_on_promotion_7,2.4578915903912463e+29,1.0
2,promo_on_not_on_promotion_6,2.1356026354743153e+29,1.0
3,promo_on_not_on_promotion_5,3.9183420990512084e+28,1.0
4,promo_on_not_on_promotion_4,1.0,1.0
5,promo_on_not_on_promotion_3,1.0,1.0
6,promo_on_not_on_promotion_2,1.0,1.0
7,promo_on_not_on_promotion_1,5.4123359783945886e+29,1.0
8,promo_on_not_on_promotion_0,1.125152636510643e+29,1.0
9,promo_on_Save_7,1.0,1.0
10,promo_on_Save_6,3.0928772247331546e+28,1.0
11,promo_on_Save_5,3.630947885079126e+29,1.0
12,promo_on_Save_4,5.230839511054436e+29,1.0
13,promo_on_Save_3,1.3523123412998425e+30,1.0
14,promo_on_Save_2,1.53197109765044e+30,1.0
15,promo_on_Save_1,2.1324784146433877e+30,1.0
16,promo_on_Save_0,1.51722008108605e+30,1.0
17,promo_on_Pts_7,1.4365193276925256e+30,1.0
18,promo_on_Pts_6,1.0,1.0
19,promo_on_Pts_5,1.1524260096916508e+30,1.0
20,promo_on_Pts_4,2.922726987818986e+29,1.0
21,promo_on_Pts_3,1.968442827663438e+29,1.0
22,promo_on_Pts_2,3.9183420990512084e+28,1.0
23,promo_on_Pts_1,1.0,1.0
24,promo_on_Pts_0,1.0,1.0
25,promo_on_PWP_7,1.0,1.0
26,promo_on_PWP_6,5.4123359783945886e+29,1.0
27,promo_on_PWP_5,5.02806295877718e+28,1.0
28,promo_on_PWP_4,4.582637578594105e+28,1.0
29,promo_on_PWP_3,9.922961479207887e+28,1.0
30,promo_on_PWP_2,3.5242490628198234e+29,1.0
31,promo_on_PWP_1,4.561294563749444e+29,1.0
32,promo_on_PWP_0,1.3523123412998425e+30,1.0
33,promo_on_Multi Buy_7,1.581835351398228e+30,1.0
34,promo_on_Multi Buy_6,2.1288931294300686e+30,1.0
35,promo_on_Multi Buy_5,1.320382347914921e+30,1.0
36,promo_on_Multi Buy_4,1.4312988232885493e+30,1.0
37,promo_on_Multi Buy_3,2.6778906413444412e+29,1.0
38,promo_on_Multi Buy_2,1.352210916382942e+30,1.0
39,promo_on_Multi Buy_1,2.922726987818986e+29,1.0
40,promo_on_Multi Buy_0,1.968442827663438e+29,1.0
41,promo_on_Bogshp_7,3.9183420990512084e+28,1.0
42,promo_on_Bogshp_6,1.0,1.0
43,promo_on_Bogshp_5,1.0,1.0
44,promo_on_Bogshp_4,1.0,1.0
45,promo_on_Bogshp_3,5.4123359783945886e+29,1.0
46,promo_on_Bogshp_2,5.02806295877718e+28,1.0
47,promo_on_Bogshp_1,4.582637578594105e+28,1.0
48,promo_on_Bogshp_0,9.922961479207887e+28,1.0
49,promo_on_3 for 2_7,3.5242490628198234e+29,1.0
50,promo_on_3 for 2_6,4.561294563749444e+29,1.0
51,promo_on_3 for 2_5,1.3526591140990183e+30,1.0
52,promo_on_3 for 2_4,1.581835351398228e+30,1.0
53,promo_on_3 for 2_3,2.1288931294300686e+30,1.0
54,promo_on_3 for 2_2,8.459796467581265e+29,1.0
55,promo_on_3 for 2_1,1.4990662226775068e+30,1.0
56,promo_on_3 for 2_0,5.9573370555400774e+29,1.0
57,promo_on_2 For_7,1.2543349873583844e+30,1.0
58,promo_on_2 For_6,1.0,1.0
59,promo_on_2 For_5,3.769602819994184e+29,1.0
60,promo_on_2 For_4,1.0,1.0
61,promo_on_2 For_3,1.3089382952771328e+29,1.0
62,promo_on_2 For_2,1.0,1.0
63,promo_on_2 For_1,1.0,1.0
64,promo_on_2 For_0,8.36129620755646e+29,1.0
65,promo_on_1 NOT FOR USE: expanded promo as not week aligned_7,3.563507314944045e+28,1.0
66,promo_on_1 NOT FOR USE: expanded promo as not week aligned_6,4.582637578594105e+28,1.0
67,promo_on_1 NOT FOR USE: expanded promo as not week aligned_5,1.1903554683148707e+29,1.0
68,promo_on_1 NOT FOR USE: expanded promo as not week aligned_4,1.483282140414062e+29,1.0
69,promo_on_1 NOT FOR USE: expanded promo as not week aligned_3,6.222634899980409e+29,1.0
70,promo_on_1 NOT FOR USE: expanded promo as not week aligned_2,1.3526591140990183e+30,1.0
71,promo_on_1 NOT FOR USE: expanded promo as not week aligned_1,1.6778772888585523e+30,1.0
72,promo_on_1 NOT FOR USE: expanded promo as not week aligned_0,1.8203870324767442e+30,1.0
73,promo_on_0 NOT FOR USE: multiple promos_7,1.1477196915610609e+30,1.0
74,promo_on_0 NOT FOR USE: multiple promos_6,1.4751498679236287e+30,1.0
75,promo_on_0 NOT FOR USE: multiple promos_5,4.812759904560109e+29,1.0
76,promo_on_0 NOT FOR USE: multiple promos_4,1.365021922341698e+30,1.0
77,promo_on_0 NOT FOR USE: multiple promos_3,1.0,1.0
78,promo_on_0 NOT FOR USE: multiple promos_2,3.769602819994184e+29,1.0
79,promo_on_0 NOT FOR USE: multiple promos_1,1.0,1.0
80,promo_on_0 NOT FOR USE: multiple promos_0,1.3089382952771328e+29,1.0
81,period_len_7,1.0,1.0
82,period_len_6,1.0,1.0
83,period_len_5,8.36129620755646e+29,1.0
84,period_len_4,3.563507314944045e+28,1.0
85,period_len_3,4.582637578594105e+28,1.0
86,period_len_2,1.1903554683148707e+29,1.0
87,period_len_1,1.483282140414062e+29,1.0
88,period_len_0,6.222634899980409e+29,1.0
89,p_sdayct_7,1.3295536389955374e+30,1.0
90,p_sdayct_6,1.6778772888585523e+30,1.0
91,p_sdayct_5,1.8203870324767442e+30,1.0
92,p_sdayct_4,9.392190326475014e+29,1.0
93,p_sdayct_3,1.4917079142895625e+30,1.0
94,p_sdayct_2,1.431467140016705e+29,1.0
95,p_sdayct_1,1.242946716921424e+30,1.0
96,p_sdayct_0,1.0,1.0
97,prev_p_sales_units_7,3.769602819994184e+29,1.0
98,prev_p_sales_units_6,1.0,1.0
99,prev_p_sales_units_5,1.3089382952771328e+29,1.0
100,prev_p_sales_units_4,1.0,1.0
101,prev_p_sales_units_3,1.0,1.0
102,prev_p_sales_units_2,8.36129620755646e+29,1.0
103,prev_p_sales_units_1,3.563507314944045e+28,1.0
104,prev_p_sales_units_0,4.582637578594105e+28,1.0
105,p_olmp_7,1.1903554683148707e+29,1.0
106,p_olmp_6,1.483282140414062e+29,1.0
107,p_olmp_5,6.222634899980409e+29,1.0
108,p_olmp_4,1.3295536389955374e+30,1.0
109,p_olmp_3,1.6778772888585523e+30,1.0
110,p_olmp_2,1.8203870324767442e+30,1.0
111,p_olmp_1,8.874138310456505e+29,1.0
112,p_olmp_0,1.50862436716836e+30,1.0
113,p_lmp_7,5.810884462896021e+29,1.0
114,p_lmp_6,1.3174281838912943e+30,1.0
115,p_lmp_5,1.0,1.0
116,p_lmp_4,3.769602819994184e+29,1.0
117,p_lmp_3,1.0,1.0
118,p_lmp_2,1.3089382952771328e+29,1.0
119,p_lmp_1,1.0,1.0
120,p_lmp_0,1.0,1.0
121,w_olmp_7,8.36129620755646e+29,1.0
122,w_olmp_6,3.563507314944045e+28,1.0
123,w_olmp_5,4.582637578594105e+28,1.0
124,w_olmp_4,1.1903554683148707e+29,1.0
125,w_olmp_3,1.483282140414062e+29,1.0
126,w_olmp_2,6.222634899980409e+29,1.0
127,w_olmp_1,1.3295536389955374e+30,1.0
128,w_olmp_0,1.6778772888585523e+30,1.0
129,w_lmp_7,1.8203870324767442e+30,1.0
130,w_lmp_6,8.183031935095016e+29,1.0
131,w_lmp_5,2.779494634204402e+30,1.0
132,w_lmp_4,2.37081944679762e+29,1.0
133,w_lmp_3,1.2834128897255344e+30,1.0
134,w_lmp_2,1.0,1.0
135,w_lmp_1,1.0,1.0
136,w_lmp_0,1.0,1.0
137,sdayct_7,1.0,1.0
138,sdayct_6,1.0,1.0
139,sdayct_5,1.0,1.0
140,sdayct_4,1.0,1.0
141,sdayct_3,1.0,1.0
142,sdayct_2,1.0,1.0
143,sdayct_1,1.0,1.0
144,sdayct_0,2.304665482438693e+29,1.0
145,prev_sales_units_7,4.8385789920548026e+29,1.0
146,prev_sales_units_6,1.3295536389955374e+30,1.0
147,prev_sales_units_5,1.4223267728287354e+30,1.0
148,prev_sales_units_4,1.4315557032052278e+30,1.0
149,prev_sales_units_3,8.514030660855947e+29,1.0
150,prev_sales_units_2,1.4060302072174504e+30,1.0
151,prev_sales_units_1,1.4603971365314457e+29,1.0
152,prev_sales_units_0,1.1832362302503552e+30,1.0
